type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	prosequor	7	-0.354455543678347	0.18053600854029703
speech	cardo	7	-0.354455543678347	0.18053600854029703
speech	madidus	7	-0.354455543678347	0.18053600854029703
speech	sibylla	6	-0.362470300243793	0.18007188652374279
speech	moribundus	6	-0.362470300243793	0.18007188652374279
speech	grauitas	6	-0.362470300243793	0.18007188652374279
speech	insuper	6	-0.362470300243793	0.18007188652374279
speech	regalis	6	-0.362470300243793	0.18007188652374279
speech	uasto	6	-0.362470300243793	0.18007188652374279
speech	cassus	6	-0.362470300243793	0.18007188652374279
speech	transfero	6	-0.362470300243793	0.18007188652374279
speech	dardanides	6	-0.362470300243793	0.18007188652374279
speech	opacus	19	-0.366293844682569	0.1798504710458279
speech	foueo	18	-0.366314182605159	0.17984929330854196
speech	totidem	18	-0.366314182605159	0.17984929330854196
speech	perago	21	-0.366846676306375	0.17981845743119587
speech	diues	21	-0.366846676306375	0.17981845743119587
speech	incumbo	16	-0.367114122735064	0.17980297002683246
speech	incendo	16	-0.367114122735064	0.17980297002683246
speech	lectus	16	-0.367114122735064	0.17980297002683246
speech	stimulo	15	-0.367981845337548	0.17975272156815678
speech	hiberus	14	-0.36923718488244	0.17968002681863093
speech	lupus	14	-0.36923718488244	0.17968002681863093
speech	cohors	26	-0.370673939077615	0.179596826630464
speech	crudus	13	-0.370954480664748	0.17958058090595766
speech	mensa	28	-0.372872556734176	0.17946950812090448
speech	intus	12	-0.373227612771909	0.17944894738111447
speech	confundo	12	-0.373227612771909	0.17944894738111447
speech	troes	12	-0.373227612771909	0.17944894738111447
speech	sollicito	5	-0.373345536685146	0.1794421185917477
speech	capto	5	-0.373345536685146	0.1794421185917477
speech	inermis	5	-0.373345536685146	0.1794421185917477
speech	speculor	5	-0.373345536685146	0.1794421185917477
speech	celero	5	-0.373345536685146	0.1794421185917477
speech	perfodio	5	-0.373345536685146	0.1794421185917477
speech	discutio	5	-0.373345536685146	0.1794421185917477
speech	postremus	5	-0.373345536685146	0.1794421185917477
speech	eridanus	5	-0.373345536685146	0.1794421185917477
speech	indomitus	5	-0.373345536685146	0.1794421185917477
speech	nouerca	5	-0.373345536685146	0.1794421185917477
speech	planus	5	-0.373345536685146	0.1794421185917477
speech	torpeo	5	-0.373345536685146	0.1794421185917477
speech	telamon	5	-0.373345536685146	0.1794421185917477
speech	insum	5	-0.373345536685146	0.1794421185917477
speech	illic	43	-0.373762294786031	0.1794179847819908
speech	loquor	54	-0.375371691281786	0.1793247871482329
