idx	token	lemma	dialogism_score
6807	tu	tu	0.7744391055235995
6808	nomina	nomen	0.2561398924808955
6809	tanto	tantus	0.341946182423814
6810	inuenies	inuenio	0.33018815230018395
6811	operi	opus	0.27939525850766417
6812	uel	uel	0.2357473342493982
6813	famam	fama	0.2648978873649849
6814	consule	consul	0.2183249521280679
6815	mundi	mundus	0.25188667932710695
6816	si	si	0.5027294574644618
6817	scelus	scelus	0.2830389600202345
6818	est	sum	0.4103991028490287
6819	plus	plus	0.2933471895558804
6820	te	tu	0.7807333600401292
6821	nobis	nos	0.5997307209855689
6822	debere	debeo	0.3177981210158221
6823	fateris	fateor	0.3421813043617413
6824	quod	quod	0.3777126237231303
6825	scelus	scelus	0.28933321453676425
6826	hoc	hic	0.4324442720018331
6827	non	non	0.41864799612008574
6828	ipse	ipse	0.2748933595453659
6829	facis	facio	0.3250689411063723
6830	sic	sic	0.21619464466528485
6831	fatus	fatus	0.20477301527640063
6832	opertum	opertus	0.25032821607833666
6833	detexit	detego	0.22159878665640764
6834	tenuit	teneo	0.22080385792280818
6835	que	que	0.2012336315258229
6836	caput	caput	0.2474480722258332
6837	iam	iam	0.2423169147710674
6838	languida	languidus	0.21884771160913247
6839	morte	mors	0.26456757830598177
6840	effigies	effigies	0.24204141750752203
6841	habitum	habitus	0.23500661972584122
6842	noti	notus	0.20991036590554063
6843	mutauerat	muto	0.23505017067067752
6844	oris	os	0.20175967187416047
6845	non	non	0.41864799612008574
6846	primo	primus	0.17886313505211374
6847	caesar	caesar	0.24411375917475533
6848	damnauit	damno	0.2233984121959387
6849	munera	munus	0.2713769624368165
6850	uisu	uideo	0.2328480755929787
6851	auertit	auerto	0.23248436443955334
6852	que	que	0.2012336315258229
6853	oculos	oculus	0.1953018476080902
6854	uoltus	uoltus	0.23593513042038433
6855	dum	dum	0.32876745542494623
6856	crederet	credo	0.2982833630567955
6857	haesit	haereo	0.16942426155662493
6858	ut	ut	0.27774099822990284
6859	que	que	0.2012336315258229
6860	fidem	fides	0.28964392868274424
6861	uidit	uideo	0.24042353528065852
6862	sceleris	scelus	0.2877048484600112
6863	tutum	tutus	0.2767217001910804
6864	que	que	0.2012336315258229
6865	putauit	puto	0.23630277016623774
6866	iam	iam	0.2423169147710674
6867	bonus	bonus	0.2574953326949698
6868	esse	sum	0.4721995529199149
6869	socer	socer	0.27421341671764804
6870	lacrimas	lacrima	0.21642052825279104
6871	non	non	0.41864799612008574
6872	sponte	spons	0.22990473603895253
6873	cadentis	cado	0.23479782958283602
6874	effudit	effundo	0.18427777014392077
6875	gemitus	gemitus	0.18009643878291773
6876	que	que	0.2012336315258229
6877	expressit	exprimo	0.2126352171848383
6878	pectore	pectus	0.17834214974671095
